order_id,provider_id,order_created_at,fulfillment_status,line_item_count,order_processed_at,processing_method,shop_id,source_name,sales_channel,gross_merchandise_value_usd
746867836,4030016618670,2021-09-18 21:22:11,fulfilled,1,2021-09-18 21:22:10,free,6601,web,ecommerce,0
349900668,4692206321911,2022-03-04 11:34:17,fulfilled,2,2022-03-04 11:34:16,AFTERPAY,2037,pos,pos,73.67314627
547900051,4574969924,2016-11-22 14:37:08,fulfilled,1,2016-11-22 14:37:08,free,5095,web,ecommerce,0
232003212,4064069222573,2021-09-13 12:55:43,fulfilled,3,2021-09-13 12:55:43,Credit Card,2037,pos,pos,132.5098425
495199407,4739214901320,2022-08-19 2:53:31,fulfilled,11,2022-08-19 2:53:29,gift_cards_only,3397,web,ecommerce,313.3246955
229390536,4000133415046,2021-09-07 15:33:07,fulfilled,1,2021-09-07 15:33:06,Credit/debit,1592,pos,pos,32.02429102
684778652,5319629045832,2023-04-26 16:55:01,fulfilled,3,2023-04-26 16:55:00,gift_cards_only,3397,web,ecommerce,64.37888817
91243872,2506227482710,2020-07-21 19:07:25,fulfilled,2,2020-07-22 2:07:25,free,924,web,ecommerce,0
373524281,2011858600008,2020-01-14 13:27:24,fulfilled,1,2020-01-14 13:27:24,gift_cards_only,3397,web,ecommerce,55.13034161
382070420,4738596798711,2022-04-13 11:18:28,fulfilled,1,2022-04-13 11:18:27,gift_cards_only,2037,web,ecommerce,52.11402653
201805392,1337610633304,2019-08-05 10:57:06,fulfilled,12,2019-08-05 10:57:05,free,1878,web,ecommerce,0
547895342,4568247748,2016-11-18 23:08:07,fulfilled,1,2016-11-18 23:08:07,free,5095,web,ecommerce,0
157701998,2749570252934,2020-09-11 18:37:54,fulfilled,1,2020-09-11 18:37:53,Credit/debit,1592,pos,pos,13.65964713
447590852,4942235926689,2022-04-20 14:29:47,fulfilled,1,2022-04-20 14:29:47,cash,3813,pos,pos,1
674901390,5006213382225,2023-04-10 10:57:31,fulfilled,2,2023-04-10 10:57:30,payment_service_redirect,6085,web,ecommerce,98.06821034
678200497,4892437282897,2022-11-22 18:42:56,fulfilled,5,2022-11-22 18:42:55,payment_service_redirect,6085,web,ecommerce,88.29111899
377138969,4131998466120,2021-11-02 12:32:22,fulfilled,1,2021-11-02 12:32:20,gift_cards_only,3397,web,ecommerce,40.12465711
214302214,3923542966406,2021-07-30 10:59:19,,1,2021-07-30 10:59:18,gift_cards_only,1592,web,ecommerce,7.618681006
412835672,3850901979182,2021-07-29 8:51:28,fulfilled,1,2021-07-29 8:51:27,free,3717,web,ecommerce,0
71115903,2285524090966,2020-05-07 16:10:03,fulfilled,3,2020-05-07 23:10:02,free,924,web,ecommerce,0
544672195,4699419443275,2022-10-28 16:13:30,fulfilled,2,2022-10-28 16:13:29,stripe_terminal,922,pos,pos,172.0619184
200518312,3971722805334,2021-06-28 17:45:15,fulfilled,1,2021-06-28 17:45:14,free,924,web,ecommerce,0
544806954,5201442472097,2022-10-28 15:52:04,fulfilled,1,2022-10-28 15:52:04,cash,3813,pos,pos,5.95
589018774,5033105719543,2022-12-21 20:47:21,fulfilled,1,2022-12-21 20:47:20,gift_cards_only,2037,web,ecommerce,50.07790639
438167255,4648697331784,2022-06-30 16:22:40,fulfilled,2,2022-06-30 16:22:39,gift_cards_only,3397,web,ecommerce,48.11678487
746438182,3200712999086,2021-01-19 15:43:04,fulfilled,1,2021-01-19 15:43:02,free,6601,web,ecommerce,0
495183659,5107993444513,2022-08-18 11:20:01,fulfilled,1,2022-08-18 11:20:01,stripe_terminal,3813,pos,pos,20
495216364,5108110819489,2022-08-18 13:12:02,fulfilled,1,2022-08-18 13:12:01,stripe_terminal,3813,pos,pos,10.2
375893253,3719832141896,2021-04-09 13:38:12,fulfilled,1,2021-04-09 13:38:11,gift_cards_only,3397,web,ecommerce,53.32912494
256560274,738427469893,2018-11-27 11:02:02,fulfilled,1,2018-11-27 11:02:01,gift_cards_only,2271,web,ecommerce,60
317282306,4632009212151,2022-01-06 12:59:14,fulfilled,1,2022-01-06 12:59:13,gift_cards_only,2037,web,ecommerce,35.0962389
445122081,3178375315617,2021-01-29 12:03:05,fulfilled,1,2021-01-29 12:03:04,cash,3813,pos,pos,0.93
157725426,3683175661702,2021-03-20 12:41:21,fulfilled,1,2021-03-20 12:41:21,Credit/debit,1592,pos,pos,11.97598097
374230940,2395259535432,2020-06-16 15:39:08,fulfilled,1,2020-06-16 15:39:07,gift_cards_only,3397,web,ecommerce,68.90442312
784375766,3684170793092,2021-04-18 13:12:57,fulfilled,2,2021-04-18 13:12:57,,6938,web,ecommerce,86
783653819,4881735450817,2023-03-16 13:56:34,fulfilled,4,2023-03-16 13:56:32,,6939,web,ecommerce,255
789649296,4461025788036,2023-01-07 13:24:23,fulfilled,5,2023-01-07 13:24:21,,6938,web,ecommerce,270
795001619,5594162397348,2023-06-05 12:51:04,fulfilled,1,2023-06-05 12:50:59,,2649,web,ecommerce,148.130003
789839067,4504812748932,2023-02-07 7:52:49,fulfilled,1,2023-02-07 7:52:48,,6938,web,ecommerce,61.2
768981388,5703975829590,2023-07-12 0:48:21,fulfilled,2,2023-07-12 0:48:21,,924,web,ecommerce,19.6
763241571,5692686368854,2023-07-07 1:22:53,,1,2023-07-07 1:22:53,,924,294517,ecommerce,14.95
790164372,4566050930820,2023-03-25 13:00:54,fulfilled,2,2023-03-25 13:00:50,,6938,web,ecommerce,122
793092730,4851502514272,2023-07-25 14:30:23,fulfilled,1,2023-07-25 14:30:22,,2780,web,ecommerce,130
763487364,4472416633003,2022-07-03 14:14:17,fulfilled,1,2022-07-03 14:14:16,,6713,web,ecommerce,199.7324795
794311200,4851905069152,2023-07-26 1:31:57,fulfilled,3,2023-07-26 1:31:53,,5504,web,ecommerce,117.8
753314522,4820262846560,2023-06-29 13:42:46,fulfilled,1,2023-06-29 13:42:45,,2780,web,ecommerce,225
793466128,6400182084,2017-08-28 18:56:29,fulfilled,1,2017-07-25 20:00:00,,7025,1810717,ecommerce,69.99
782062799,2227739623556,2020-05-07 9:56:01,fulfilled,1,2020-05-07 9:56:01,,6938,shopify_draft_order,ecommerce,0
787156881,3996296773764,2022-02-14 21:36:36,fulfilled,4,2022-02-14 21:36:35,,6938,web,ecommerce,226
758276190,5685754593366,2023-07-02 15:30:15,fulfilled,5,2023-07-02 15:30:15,,924,web,ecommerce,14.96
793007106,2044298690638,2020-01-24 18:39:32,fulfilled,1,2018-11-28 12:26:34,,6976,Transporter,ecommerce,198
750941407,4967000080453,2023-06-26 8:25:31,fulfilled,1,2023-06-26 8:25:31,,2271,Woot,ecommerce,15
800026203,5726709973078,2023-07-27 19:38:16,,1,2023-07-27 19:38:15,,924,web,ecommerce,19.2
743463359,5460259176520,2023-06-21 10:04:55,fulfilled,6,2023-06-21 10:04:54,,3397,web,ecommerce,188.6066231
784751249,3735015129220,2021-06-12 13:18:29,fulfilled,4,2021-06-12 13:18:27,,6938,web,ecommerce,226
785854717,3849977036932,2021-10-14 15:01:45,fulfilled,1,2021-10-14 15:01:44,,6938,web,ecommerce,48
780241853,4995628531781,2023-07-19 19:12:32,fulfilled,2,2023-07-19 19:12:31,,2271,web,ecommerce,28
796180119,5131025318079,2023-07-26 19:12:53,fulfilled,4,2023-07-26 19:12:51,,6418,web,ecommerce,188.4065452
789396992,4386251702404,2022-11-25 15:03:37,fulfilled,15,2022-11-25 15:03:31,,6938,web,ecommerce,356.4
750903142,5475951149128,2023-06-26 22:23:54,fulfilled,2,2023-06-26 22:23:50,,3397,web,ecommerce,65.40129333
790661716,2039549919310,2020-01-23 15:37:23,fulfilled,2,2015-12-17 9:46:23,,6976,Transporter,ecommerce,388
788290152,4168899756164,2022-07-02 14:23:05,fulfilled,4,2022-07-02 14:23:04,,6938,web,ecommerce,226
784313500,3683120152708,2021-04-17 13:05:13,fulfilled,4,2021-04-17 13:05:12,,6938,web,ecommerce,222
783021482,4808177713345,2023-01-24 18:05:21,fulfilled,1,2023-01-24 18:05:20,,6939,shopify_draft_order,ecommerce,180
783203596,2852340498564,2020-11-27 0:04:35,fulfilled,1,2020-11-27 0:04:34,,6938,580111,ecommerce,52
794170820,472697536582,2018-04-24 13:06:53,fulfilled,3,2018-04-24 13:06:53,,7025,web,ecommerce,295.99
750932411,4966962528325,2023-06-26 8:21:00,fulfilled,1,2023-06-26 8:21:00,,2271,Woot,ecommerce,18
769025094,5418166780223,2023-07-12 4:53:00,fulfilled,1,2021-08-27 9:26:40,,6590,5801947,ecommerce,14.99
751522121,5479018758216,2023-06-27 18:16:09,fulfilled,1,2023-06-27 18:16:08,,3397,web,ecommerce,37.55279499
791990307,2069034336291,2020-05-06 21:54:58,fulfilled,1,2020-05-06 21:54:57,,6786,web,ecommerce,79
759489998,5687124197462,2023-07-03 13:56:04,fulfilled,3,2023-07-03 13:56:03,,924,web,ecommerce,21
787990406,4142120992900,2022-06-10 13:20:06,fulfilled,5,2022-06-10 13:20:05,,6938,web,ecommerce,174
789101703,4348011151492,2022-11-05 13:03:42,fulfilled,5,2022-11-05 13:03:38,,6938,web,ecommerce,312
761479376,5498430586952,2023-07-05 22:24:21,fulfilled,1,2023-07-05 22:24:19,,3397,web,ecommerce,24.02811744
780982057,1330339610669,2019-08-16 6:32:40,fulfilled,1,2019-08-16 6:32:40,,6938,shopify_draft_order,ecommerce,0
793983122,4553405038756,2022-04-16 1:34:56,fulfilled,3,2022-04-16 1:34:55,,2649,web,ecommerce,462.4197257
768966841,5417617817919,2023-07-12 2:56:21,fulfilled,2,2020-12-10 9:55:18,,6590,5801947,ecommerce,119.98
779817783,685542146093,2018-11-28 23:07:17,fulfilled,1,2018-11-28 23:07:16,,6938,web,ecommerce,28.9
786621193,3933561815172,2021-12-21 20:26:28,fulfilled,1,2021-12-21 20:26:26,,6938,web,ecommerce,58
789106615,4348032778372,2022-11-05 13:05:26,fulfilled,1,2022-11-05 13:05:25,,6938,web,ecommerce,63
780512155,804746297389,2019-04-08 14:26:07,fulfilled,1,2019-04-08 14:26:07,,6938,web,ecommerce,0
